@relation blood-transfusion-weka.filters.supervised.attribute.Discretize-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R4

@attribute 'Recency (months) real' {0,1}
@attribute 'Frequency (times)' {0,1}
@attribute 'Monetary (c.c. blood)' {0,1}
@attribute class {0,1}

@data
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,0
0,0,0,0
0,1,1,1
0,1,1,0
0,1,1,1
0,1,1,1
0,1,1,0
0,0,0,0
0,1,1,1
0,1,1,0
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,0,0,1
0,0,0,1
0,1,1,0
0,1,1,1
0,1,1,1
1,1,1,0
0,1,1,0
0,1,1,0
0,1,1,1
0,1,1,1
0,1,1,0
0,1,1,0
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,0
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,0
0,1,1,1
0,1,1,0
0,1,1,1
0,1,1,1
0,1,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,1,0
0,1,1,1
0,1,1,0
0,1,1,0
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,1
0,1,1,0
0,1,1,1
0,0,0,1
0,1,1,0
0,0,0,1
0,0,0,0
0,1,1,0
0,1,1,0
0,0,0,0
0,0,0,0
0,1,1,1
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,1,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,1,1,1
0,1,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,1,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,1,1,0
0,1,1,0
0,1,1,0
0,1,1,1
0,0,0,1
0,1,1,1
0,1,1,1
0,1,1,1
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,0,0,0
0,1,1,0
0,1,1,1
0,1,1,0
0,1,1,0
0,1,1,1
0,1,1,0
1,1,1,0
0,1,1,1
0,1,1,0
0,1,1,0
0,1,1,1
0,0,0,1
0,1,1,1
0,1,1,1
0,1,1,1
0,0,0,0
0,1,1,0
0,1,1,1
0,0,0,0
0,1,1,1
0,0,0,1
0,1,1,0
0,1,1,0
0,0,0,0
0,1,1,0
0,1,1,0
0,0,0,0
0,1,1,0
0,1,1,0
1,1,1,0
0,0,0,0
0,1,1,0
0,1,1,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,1,1,1
0,1,1,0
0,1,1,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,1,0
1,0,0,1
0,1,1,1
0,1,1,1
0,0,0,0
0,0,0,1
1,0,0,0
0,0,0,0
0,1,1,0
1,1,1,0
1,1,1,0
0,1,1,0
0,0,0,0
1,1,1,0
0,1,1,1
0,1,1,0
0,1,1,0
0,0,0,0
1,1,1,0
0,0,0,0
0,1,1,1
1,1,1,1
0,1,1,0
1,1,1,0
1,1,1,0
0,1,1,0
0,1,1,0
0,0,0,1
0,1,1,0
1,1,1,0
1,1,1,0
0,0,0,0
0,1,1,0
1,1,1,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
1,1,1,0
1,1,1,0
1,1,1,0
1,0,0,0
0,0,0,0
0,0,0,0
1,1,1,0
1,1,1,1
1,1,1,0
0,0,0,1
1,1,1,1
1,0,0,0
0,1,1,0
1,1,1,0
1,1,1,0
1,0,0,0
1,0,0,0
1,0,0,0
0,1,1,0
1,1,1,1
1,0,0,1
1,1,1,0
0,0,0,0
1,1,1,0
1,1,1,0
0,0,0,0
1,1,1,0
0,0,0,0
1,1,1,1
0,0,0,0
0,0,0,1
0,1,1,0
0,0,0,1
0,0,0,0
1,1,1,0
0,1,1,0
1,0,0,0
1,1,1,0
1,1,1,0
1,0,0,0
0,1,1,0
0,1,1,0
0,0,0,0
1,1,1,0
0,0,0,0
1,1,1,0
1,1,1,0
1,1,1,0
1,0,0,1
1,1,1,0
1,0,0,0
1,1,1,0
1,0,0,0
0,0,0,0
1,0,0,1
1,1,1,1
1,0,0,1
1,0,0,1
1,1,1,0
1,0,0,0
1,1,1,0
1,1,1,0
0,0,0,0
1,1,1,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,1,1,0
1,1,1,1
0,1,1,0
1,0,0,0
1,0,0,0
1,0,0,0
1,1,1,0
1,0,0,0
1,1,1,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,1,1,1
1,1,1,0
1,1,1,0
1,1,1,1
1,0,0,0
1,1,1,1
1,1,1,0
1,0,0,0
0,0,0,0
1,1,1,0
1,0,0,1
1,1,1,0
1,1,1,0
1,1,1,0
1,1,1,1
1,1,1,1
1,0,0,0
1,0,0,1
1,0,0,0
1,1,1,0
1,0,0,1
1,0,0,0
1,0,0,0
1,1,1,0
1,1,1,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
