@relation ecoli-weka.filters.supervised.attribute.Discretize-E-Rfirst-last

@attribute mcg {0,1,2}
@attribute gvh {0,1}
@attribute lip {0,1}
@attribute chg {0}
@attribute aac {0,1,2}
@attribute alm1 {0,1,2,3}
@attribute alm2 {0,1}
@attribute class {0,1}

@data
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,1,0,0,0,3,0,1
0,0,0,0,0,1,0,1
1,0,0,0,0,3,1,1
0,0,0,0,1,3,1,1
0,0,0,0,1,3,1,1
0,0,0,0,1,3,1,1
0,1,0,0,0,3,1,1
0,0,0,0,0,3,1,1
0,0,0,0,1,3,1,1
0,0,0,0,1,3,1,1
0,0,0,0,1,3,1,1
0,1,0,0,2,2,1,1
0,0,0,0,1,3,1,1
1,0,0,0,0,3,1,1
2,0,0,0,0,3,1,1
0,0,0,0,1,3,1,1
0,0,0,0,0,3,1,1
0,0,0,0,0,3,1,1
0,1,0,0,0,3,1,1
1,0,0,0,0,3,1,1
0,0,0,0,1,3,1,1
0,0,0,0,0,3,1,1
1,1,0,0,0,3,1,1
0,1,0,0,0,3,1,1
0,1,0,0,0,3,1,1
1,0,0,0,1,3,1,1
0,0,0,0,0,3,1,1
0,0,0,0,1,3,1,1
1,0,0,0,0,3,1,1
0,0,0,0,0,3,1,1
0,0,0,0,1,3,1,1
1,0,0,0,1,3,1,1
0,0,0,0,1,3,1,1
1,0,0,0,1,3,1,1
1,1,0,0,0,3,1,1
2,0,0,0,1,3,1,1
0,0,0,0,1,3,1,1
1,0,0,0,1,3,1,1
1,0,0,0,0,3,1,1
1,0,1,0,0,3,1,1
0,0,0,0,0,1,0,1
1,1,0,0,1,3,1,1
0,0,0,0,1,3,1,1
2,0,0,0,0,3,1,1
1,0,0,0,0,3,1,1
0,0,0,0,1,3,1,1
1,0,0,0,0,3,0,1
0,0,0,0,0,3,1,1
1,1,0,0,1,3,1,1
0,0,0,0,0,3,1,1
0,1,0,0,0,3,1,1
1,0,0,0,0,3,1,1
1,0,0,0,0,3,1,1
0,0,0,0,1,3,1,1
0,1,0,0,1,3,1,1
1,0,0,0,0,3,1,1
0,0,0,0,0,3,1,1
1,0,0,0,1,3,1,1
0,0,0,0,0,3,1,1
0,0,0,0,0,3,1,1
0,0,0,0,1,3,1,1
0,0,0,0,0,3,1,1
1,1,0,0,0,3,1,1
0,0,0,0,0,3,1,1
0,0,0,0,1,3,1,1
0,0,0,0,1,3,1,1
1,0,0,0,1,3,1,1
1,0,0,0,1,3,1,1
0,0,0,0,1,3,1,1
0,1,0,0,0,3,0,1
0,0,0,0,0,3,0,1
0,0,0,0,0,3,0,1
0,0,0,0,0,3,0,1
0,0,0,0,0,3,0,1
1,0,0,0,0,3,0,1
1,1,0,0,1,3,1,1
1,0,0,0,1,3,1,1
2,0,0,0,0,1,0,1
1,0,0,0,0,3,1,1
1,0,1,0,0,1,0,1
1,0,1,0,0,3,1,1
1,0,0,0,1,3,1,1
2,0,0,0,1,3,1,1
2,0,0,0,1,3,1,1
1,0,0,0,1,3,1,1
2,0,0,0,0,3,1,1
2,0,0,0,1,3,1,1
1,0,0,0,1,3,1,1
1,0,0,0,1,3,1,1
1,0,0,0,0,3,1,1
1,0,0,0,0,3,1,1
1,0,0,0,0,3,1,1
2,1,0,0,0,3,1,1
2,0,0,0,0,3,1,1
2,0,0,0,0,3,1,1
2,0,0,0,0,3,1,1
1,1,0,0,1,3,1,1
1,0,0,0,0,3,1,1
1,0,0,0,1,3,1,1
2,0,0,0,1,3,1,1
2,0,0,0,1,3,1,1
2,0,0,0,1,3,1,1
0,0,0,0,1,3,1,1
2,0,0,0,0,2,1,1
1,0,0,0,1,3,1,1
1,0,0,0,1,3,1,1
2,0,0,0,1,3,1,1
1,0,0,0,1,3,1,1
0,1,1,0,0,3,1,1
2,0,0,0,0,3,1,1
2,0,0,0,2,3,1,1
1,0,0,0,1,3,1,1
2,0,0,0,1,3,1,1
2,0,0,0,0,3,1,1
1,0,0,0,0,1,0,1
2,0,0,0,0,3,1,1
2,1,0,0,2,1,0,1
